,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
4,232006708,423,,ASSAULT - AGGRAVATED,B2, ,0,2023-01-26 09:00:00+00,2023,1,Thursday ,9,,HUTCHINGS ST,42.310268910354935,-71.08931055058088,"(42.310268910354935, -71.08931055058088)"
15,232052046,423,,ASSAULT - AGGRAVATED,E18,519,0,2023-07-02 14:27:00+00,2023,7,Sunday   ,14,,RIVER ST,42.25609174568991,-71.12079696936819,"(42.25609174568991, -71.12079696936819)"
17,232009906,801,,ASSAULT - SIMPLE,D14,778,0,2023-02-04 17:00:00+00,2023,2,Saturday ,17,,WASHINGTON ST,,,
18,232009847,801,,ASSAULT - SIMPLE,C11,332,0,2023-02-06 15:43:00+00,2023,2,Monday   ,15,,WHITTEMORE TER,42.31388777279501,-71.06586565280912,"(42.31388777279501, -71.06586565280912)"
26,232013444,423,,ASSAULT - AGGRAVATED,E18,536,0,2023-02-19 10:22:00+00,2023,2,Sunday   ,10,,EASTMONT RD,42.25108483920587,-71.1442198354439,"(42.25108483920587, -71.1442198354439)"
31,232013542,801,,ASSAULT - SIMPLE,C6, ,0,2023-02-19 18:07:00+00,2023,2,Sunday   ,18,,ALLSTATE ROAD,,,
45,232040674,423,,ASSAULT - AGGRAVATED,E5, ,0,2023-05-24 16:03:00+00,2023,5,Wednesday,16,,BROOKWAY RD,42.29255578453304,-71.11974298117391,"(42.29255578453304, -71.11974298117391)"
51,232024716,801,,ASSAULT - SIMPLE,E13, ,0,2023-03-30 21:30:00+00,2023,3,Thursday ,21,,AMORY AVE,42.32066534380498,-71.10004987256167,"(42.32066534380498, -71.10004987256167)"
55,232026984,423,,ASSAULT - AGGRAVATED,A1,118,0,2023-04-07 00:00:00+00,2023,4,Friday   ,0,,BOYLSTON ST,42.352510053467306,-71.06719166401544,"(42.352510053467306, -71.06719166401544)"
56,232027276,423,,ASSAULT - AGGRAVATED,C11,241,0,2023-04-08 22:35:00+00,2023,4,Saturday ,22,,SUMNER STREET,,,
69,232007972,801,,ASSAULT - SIMPLE,D14,797,0,2023-01-30 18:24:00+00,2023,1,Monday   ,18,,COMMONWEALTH AVE,42.351705315010456,-71.11990015383687,"(42.351705315010456, -71.11990015383687)"
71,232069108,423,,ASSAULT - AGGRAVATED,D4,273,0,2023-08-28 11:00:00+00,2023,8,Monday   ,11,,NORTHAMPTON ST,42.33798887433359,-71.08003799864896,"(42.33798887433359, -71.08003799864896)"
73,232097653,301,,ROBBERY,B2,587,0,2023-12-01 11:25:00+00,2023,12,Friday   ,11,,"ALLEGHANY ST & PONTIAC ST
ROXBURY  MA 02120
UNITED",42.33139461962204,-71.1014185782975,"(42.33139461962204, -71.1014185782975)"
74,232038955,423,,ASSAULT - AGGRAVATED,B3, ,0,2023-05-18 22:04:00+00,2023,5,Thursday ,22,,NORFOLK ST,42.284579825799504,-71.08083309740765,"(42.284579825799504, -71.08083309740765)"
76,232027682,423,,ASSAULT - AGGRAVATED,B2, ,0,2023-04-10 16:41:00+00,2023,4,Monday   ,16,,WARREN ST,42.31993295277239,-71.08157395179997,"(42.31993295277239, -71.08157395179997)"
77,232040481,301,,ROBBERY,B3, ,0,2023-05-23 23:29:00+00,2023,5,Tuesday  ,23,,CALLENDER ST,42.2878539341055,-71.08679684409852,"(42.2878539341055, -71.08679684409852)"
86,232016855,801,,ASSAULT - SIMPLE,A7,902,0,2023-03-03 20:45:00+00,2023,3,Friday   ,20,,SUMNER ST,42.36908069093343,-71.04021609048768,"(42.36908069093343, -71.04021609048768)"
87,232086927,423,,ASSAULT - AGGRAVATED,D4,136,1,2023-10-27 12:50:00+00,2023,10,Friday   ,12,,"COMMONWEALTH AVE & EXETER ST
BOSTON  MA 02116
UNIT",42.35145950941225,-71.08047054633238,"(42.35145950941225, -71.08047054633238)"
97,232001615,801,,ASSAULT - SIMPLE,B3, ,0,2023-01-07 02:51:00+00,2023,1,Saturday ,2,,COLONIAL AVE,42.2904087818044,-71.07693638200932,"(42.290408781804395, -71.07693638200932)"
105,232049697,801,,ASSAULT - SIMPLE,B2, ,0,2023-06-24 17:12:00+00,2023,6,Saturday ,17,,COLUMBIA RD,42.31635461376237,-71.06593908466135,"(42.31635461376237, -71.06593908466135)"
106,232054216,801,,ASSAULT - SIMPLE,D4,167,0,2023-07-09 17:00:00+00,2023,7,Sunday   ,17,,HARRISON AVE,42.33954198983015,-71.06940876967543,"(42.339541989830145, -71.06940876967543)"
112,232006336,801,,ASSAULT - SIMPLE,A1,101,0,2023-01-07 19:00:00+00,2023,1,Saturday ,19,,STATE STREET,,,
119,232062504,801,,ASSAULT - SIMPLE,D4, ,0,2023-08-06 16:00:00+00,2023,8,Sunday   ,16,,COLUMBUS AVE,42.33961802946462,-71.08285634590877,"(42.33961802946462, -71.08285634590877)"
122,232058818,301,,ROBBERY,A7, ,0,2023-07-25 12:45:00+00,2023,7,Tuesday  ,12,,LONDON ST,42.3717233811831,-71.04039057311978,"(42.3717233811831, -71.04039057311978)"
130,232064334,423,,ASSAULT - AGGRAVATED,D4, ,0,2023-08-12 21:39:00+00,2023,8,Saturday ,21,,COLUMBUS AVE,42.34507454498671,-71.07612351677757,"(42.34507454498671, -71.07612351677757)"
136,232067677,423,,ASSAULT - AGGRAVATED,D4, ,0,2023-08-23 22:00:00+00,2023,8,Wednesday,22,,WALTHAM ST,42.34123724338555,-71.06827592649272,"(42.34123724338555, -71.06827592649272)"
154,232078503,801,,ASSAULT - SIMPLE,E5,691,0,2023-09-26 18:00:00+00,2023,9,Tuesday  ,18,,CENTRE ST,42.28709320338153,-71.14822209118665,"(42.28709320338153, -71.14822209118665)"
157,232080958,423,,ASSAULT - AGGRAVATED,A1,77,0,2023-10-06 17:00:00+00,2023,10,Friday   ,17,,NEW SUDBURY ST,42.36183808831422,-71.05976533206233,"(42.36183808831422, -71.05976533206233)"
169,232087464,801,,ASSAULT - SIMPLE,E13,574,0,2023-10-26 11:00:00+00,2023,10,Thursday ,11,,WASHINGTON ST,42.30971815419562,-71.10429497557632,"(42.30971815419562, -71.10429497557632)"
173,232089988,423,,ASSAULT - AGGRAVATED,, ,0,2023-11-06 01:17:00+00,2023,11,Monday   ,1,,WALNUT,,,
174,232089994,423,,ASSAULT - AGGRAVATED,C11,240,0,2023-11-06 01:55:00+00,2023,11,Monday   ,1,,ANNABEL STREET,,,
178,232015502,801,,ASSAULT - SIMPLE,A15, ,0,2023-02-27 00:00:00+00,2023,2,Monday   ,0,,MEDFORD ST,42.3804815918866,-71.06087765435305,"(42.3804815918866, -71.06087765435305)"
179,232093896,801,,ASSAULT - SIMPLE,C11,334,0,2023-11-18 15:34:00+00,2023,11,Saturday ,15,,RONAN STREET,,,
180,232077928,423,,ASSAULT - AGGRAVATED,D4,273,0,2023-09-26 20:35:00+00,2023,9,Tuesday  ,20,,"SHAWMUT AVE & CAMDEN ST
ROXBURY  MA 02118
UNITED S",42.33653656379887,-71.07927159320373,"(42.33653656379887, -71.07927159320373)"
185,242001371,301,,ROBBERY,D4,171,0,2024-01-05 14:40:00+00,2024,1,Friday   ,14,,ALBANY ST,42.334287947313456,-71.07239570643029,"(42.334287947313456, -71.07239570643029)"
188,232103370,724,,AUTO THEFT,E13,574,0,2023-12-19 21:39:00+00,2023,12,Tuesday  ,21,,WASHINGTON ST,42.30971815419562,-71.10429497557632,"(42.30971815419562, -71.10429497557632)"
189,242003995,801,,ASSAULT - SIMPLE,B2,305,0,2024-01-15 12:38:00+00,2024,1,Monday   ,12,,WALNUT AVE,42.31878295874569,-71.09074289154685,"(42.31878295874569, -71.09074289154685)"
190,242000715,801,,ASSAULT - SIMPLE,B3,434,0,2024-01-03 15:12:00+00,2024,1,Wednesday,15,,STANTON ST,42.28411328449855,-71.07938782790185,"(42.284113284498545, -71.07938782790185)"
191,242000777,301,,ROBBERY,E13,906,0,2024-01-03 16:08:00+00,2024,1,Wednesday,16,,PLANT CT,42.32487708214132,-71.10316497347982,"(42.32487708214132, -71.10316497347982)"
203,242015652,801,,ASSAULT - SIMPLE,A7,942,0,2024-02-25 21:26:00+00,2024,2,Sunday   ,21,,WALDEMAR AVE,42.39327233889835,-71.00793939527921,"(42.39327233889835, -71.00793939527921)"
205,242018833,801,,ASSAULT - SIMPLE,D4,170,0,2024-03-07 17:38:00+00,2024,3,Thursday ,17,,WASHINGTON ST,42.33767906890962,-71.07529171628553,"(42.33767906890962, -71.07529171628553)"
209,242021818,801,,ASSAULT - SIMPLE,C6,200,0,2024-03-17 17:46:00+00,2024,3,Sunday   ,17,,W SECOND ST,42.34329287855852,-71.05610518691446,"(42.343292878558515, -71.05610518691446)"
210,242023399,423,,ASSAULT - AGGRAVATED,A7,27,0,2024-03-22 17:39:00+00,2024,3,Friday   ,17,,MONSIGNOR ALBERT A. JACOBBE RD,42.368567516007296,-71.04121746536094,"(42.368567516007296, -71.04121746536094)"
215,242028503,801,,ASSAULT - SIMPLE,C11,341,0,2024-04-09 15:53:00+00,2024,4,Tuesday  ,15,,TOPLIFF ST,42.303367403369,-71.06827280518941,"(42.303367403368995, -71.06827280518941)"
222,242034863,301,,ROBBERY,B3,427,0,2024-04-30 19:17:00+00,2024,4,Tuesday  ,19,,FESSENDEN ST,42.278559411609606,-71.09199767394342,"(42.278559411609606, -71.09199767394342)"
228,232046004,801,,ASSAULT - SIMPLE,A7,21,0,2023-06-12 08:30:00+00,2023,6,Monday   ,8,,CHELSEA ST,42.37371863789154,-71.03433389738203,"(42.37371863789154, -71.03433389738203)"
235,232051183,801,,ASSAULT - SIMPLE,D4, ,0,2023-06-29 16:18:00+00,2023,6,Thursday ,16,,CAMDEN ST,42.33826649104908,-71.0817645306216,"(42.33826649104908, -71.0817645306216)"
244,232018269,801,,ASSAULT - SIMPLE,A1, ,0,2023-03-09 10:46:00+00,2023,3,Thursday ,10,,BOYLSTON ST,,,
246,232003540,423,,ASSAULT - AGGRAVATED,E18,499,0,2023-01-14 02:21:00+00,2023,1,Saturday ,2,,CANTERBURY ST,42.2786878924599,-71.11734429913822,"(42.2786878924599, -71.11734429913822)"
248,232007948,423,,ASSAULT - AGGRAVATED,B2, ,1,2023-01-30 17:00:00+00,2023,1,Monday   ,17,,PRENTISS ST,42.33414658573123,-71.09470188281028,"(42.33414658573123, -71.09470188281028)"
255,232022720,801,,ASSAULT - SIMPLE,D4, ,0,2023-03-24 17:14:00+00,2023,3,Friday   ,17,,AGUADILLA ST,42.34189258398864,-71.07408363727468,"(42.34189258398864, -71.07408363727468)"
257,232012812,801,,ASSAULT - SIMPLE,D4, ,0,2023-02-17 02:22:00+00,2023,2,Friday   ,2,,HARCOURT ST,42.34618775366268,-71.07852784770971,"(42.34618775366268, -71.07852784770971)"
259,232013552,801,,ASSAULT - SIMPLE,D4, ,0,2023-02-19 08:30:00+00,2023,2,Sunday   ,8,,ALBANY ST,42.33428840659416,-71.07239517543796,"(42.334288406594155, -71.07239517543796)"
260,232013436,801,,ASSAULT - SIMPLE,D4, ,0,2023-02-19 09:40:00+00,2023,2,Sunday   ,9,,BROOKLINE AVE,42.344107176008926,-71.10180259926005,"(42.344107176008926, -71.10180259926005)"
264,232013475,423,,ASSAULT - AGGRAVATED,B2, ,0,2023-02-19 12:25:00+00,2023,2,Sunday   ,12,,GEORGE ST,42.32576899275444,-71.07245871216831,"(42.32576899275444, -71.07245871216831)"
271,232013558,801,,ASSAULT - SIMPLE,C11,365,0,2023-02-19 17:38:00+00,2023,2,Sunday   ,17,,SAINT MARKS RD,42.29144845024554,-71.0617193639743,"(42.29144845024554, -71.0617193639743)"
285,232019222,801,,ASSAULT - SIMPLE,E18, ,0,2023-03-12 23:27:00+00,2023,3,Sunday   ,23,,HYDE PARK AVE,,,
296,232001201,423,,ASSAULT - AGGRAVATED,B3,465,0,2023-01-05 09:00:00+00,2023,1,Thursday ,9,,BLUE HILL AVENUE,,,
307,232011501,801,,ASSAULT - SIMPLE,B2,603,0,2023-02-10 13:00:00+00,2023,2,Friday   ,13,,TREMONT ST,42.33380641504081,-71.10377903286623,"(42.33380641504081, -71.10377903286623)"
308,232011605,801,,ASSAULT - SIMPLE,A7,,0,2023-02-12 18:10:00+00,2023,2,Sunday   ,18,,MERIDIAN ST,42.37047958544974,-71.03896721520105,"(42.37047958544974, -71.03896721520105)"
322,232011617,423,,ASSAULT - AGGRAVATED,B2,,0,2023-02-12 18:54:00+00,2023,2,Sunday   ,18,,COPELAND ST,42.32238324889982,-71.0804547743847,"(42.32238324889982, -71.0804547743847)"
323,232011512,724,,AUTO THEFT,C11,355,0,2023-02-12 11:43:00+00,2023,2,Sunday   ,11,,GIBSON ST,42.297554856340426,-71.05970968687002,"(42.297554856340426, -71.05970968687002)"
334,232000753,801,,ASSAULT - SIMPLE,D4, ,0,2023-01-04 01:11:00+00,2023,1,Wednesday,1,,UNION PARK,42.34279487265371,-71.07155170533693,"(42.34279487265371, -71.07155170533693)"
347,232061176,301,,ROBBERY,B2, ,0,2023-08-02 12:32:00+00,2023,8,Wednesday,12,,COLUMBIA RD & SAYWARD ST,42.3137495353987,-71.06792057982355,"(42.3137495353987, -71.06792057982355)"
349,232033131,801,,ASSAULT - SIMPLE,D4,133,0,2023-04-29 10:40:00+00,2023,4,Saturday ,10,,NEWBURY ST,42.35176179033383,-71.07452167494773,"(42.35176179033383, -71.07452167494773)"
353,232069066,423,,ASSAULT - AGGRAVATED,D4,156,0,2023-08-28 10:54:00+00,2023,8,Monday   ,10,,W SPRINGFIELD ST,42.33930229794384,-71.07912431848763,"(42.33930229794384, -71.07912431848763)"
355,232034592,301,,ROBBERY,C11, ,0,2023-05-04 19:57:00+00,2023,5,Thursday ,19,,DORCHESTER AVE,42.29666201623524,-71.06121836460217,"(42.29666201623524, -71.06121836460217)"
358,232039,801,,ASSAULT - SIMPLE,C6,186,0,2023-05-09 21:15:00+00,2023,5,Tuesday  ,21,,ALLSTATE RD,42.326966471363896,-71.06198606584843,"(42.326966471363896, -71.06198606584843)"
361,242000910,423,,ASSAULT - AGGRAVATED,D4,273,0,2024-01-04 09:06:00+00,2024,1,Thursday ,9,,LENOX ST,42.33740236320984,-71.08221587315224,"(42.33740236320984, -71.08221587315224)"
363,232052130,423,,ASSAULT - AGGRAVATED,B3, ,0,2023-05-02 20:40:00+00,2023,5,Tuesday  ,20,,WELLINGTON HILL ST,42.28429433289675,-71.09549111249535,"(42.28429433289675, -71.09549111249535)"
368,232037653,301,,ROBBERY,D4,905,0,2023-05-14 19:40:00+00,2023,5,Sunday   ,19,,E BROOKLINE ST,42.33926718197248,-71.07208885359744,"(42.339267181972474, -71.07208885359744)"
373,232045026,801,,ASSAULT - SIMPLE,A1, ,0,2023-06-08 12:51:00+00,2023,6,Thursday ,12,,CAUSEWAY ST,42.365374320180834,-71.06154205203151,"(42.365374320180834, -71.06154205203151)"
381,232047923,423,,ASSAULT - AGGRAVATED,B3, ,0,2023-06-18 12:50:00+00,2023,6,Sunday   ,12,,TALBOT AVE,42.29041492653997,-71.07269604547206,"(42.29041492653997, -71.07269604547206)"
383,232055913,801,,ASSAULT - SIMPLE,B3, ,0,2023-07-15 16:35:00+00,2023,7,Saturday ,16,,WHITMAN ST,42.28701692908955,-71.07706517400955,"(42.28701692908955, -71.07706517400955)"
384,232056255,801,,ASSAULT - SIMPLE,A1, ,0,2023-07-17 01:36:00+00,2023,7,Monday   ,1,,WARRENTON ST,42.35066126986211,-71.06602279708102,"(42.35066126986211, -71.06602279708102)"
385,232057372,423,,ASSAULT - AGGRAVATED,A1, ,0,2023-07-20 13:57:00+00,2023,7,Thursday ,13,,WASHINGTON ST,42.35591887106222,-71.0600058446897,"(42.35591887106222, -71.0600058446897)"
393,232061974,801,,ASSAULT - SIMPLE,B2,264,0,2023-08-04 09:00:00+00,2023,8,Friday   ,9,,BROOKFORD ST,42.318354230358,-71.07743414105063,"(42.318354230358004, -71.07743414105063)"
396,232070270,801,,ASSAULT - SIMPLE,C6,207,0,2023-09-01 01:49:00+00,2023,9,Friday   ,1,,MARINA PARK DR,42.35300196839949,-71.04502313135512,"(42.35300196839949, -71.04502313135512)"
401,232065598,801,,ASSAULT - SIMPLE,D4, ,0,2023-08-16 19:25:00+00,2023,8,Wednesday,19,,W CONCORD ST,42.339619164298,-71.07699289681003,"(42.339619164298, -71.07699289681003)"
402,232065940,801,,ASSAULT - SIMPLE,D4, ,0,2023-08-17 21:00:00+00,2023,8,Thursday ,21,,JERSEY ST,42.34412579177451,-71.09760934248418,"(42.34412579177451, -71.09760934248418)"
404,232060732,801,,ASSAULT - SIMPLE,D4,130,0,2023-07-31 17:51:00+00,2023,7,Monday   ,17,,DARTMOUTH ST,42.34968826371094,-71.07711306657151,"(42.34968826371094, -71.07711306657151)"
405,232069799,423,,ASSAULT - AGGRAVATED,B3,472,0,2023-08-30 16:00:00+00,2023,8,Wednesday,16,,CULBERT ST,42.27372342276155,-71.09449482339465,"(42.27372342276155, -71.09449482339465)"
410,232080748,801,,ASSAULT - SIMPLE,B3,458,0,2023-10-06 01:36:00+00,2023,10,Friday   ,1,,BLUE HILL AVE,42.30316046868828,-71.08515614823628,"(42.30316046868828, -71.08515614823628)"
420,232087313,801,,ASSAULT - SIMPLE,D4,270,0,2023-10-28 14:05:00+00,2023,10,Saturday ,14,,NORTHAMPTON ST,42.33395079312848,-71.07538992670342,"(42.33395079312848, -71.07538992670342)"
421,232088954,423,,ASSAULT - AGGRAVATED,B3,473,0,2023-10-30 14:30:00+00,2023,10,Monday   ,14,,HEBRON ST,42.27554002602078,-71.10481038419834,"(42.27554002602078, -71.10481038419834)"
427,232091609,423,,ASSAULT - AGGRAVATED,D4,171,0,2023-11-11 00:54:00+00,2023,11,Saturday ,0,,ALBANY ST,42.334287947313456,-71.07239570643029,"(42.334287947313456, -71.07239570643029)"
433,232097510,423,,ASSAULT - AGGRAVATED,A1,75,0,2023-12-01 02:12:00+00,2023,12,Friday   ,2,,"VALENTI WAY & FRIEND ST
BOSTON  MA 02114
UNITED ST",42.36397955921646,-71.06049045646208,"(42.36397955921646, -71.06049045646208)"
439,232082340,724,,AUTO THEFT,C6,913,0,2023-10-11 12:45:00+00,2023,10,Wednesday,12,,MOUNT VERNON ST,42.31931447704152,-71.04631315932586,"(42.31931447704152, -71.04631315932586)"
440,232082391,801,,ASSAULT - SIMPLE,B2,291,0,2023-10-11 20:21:00+00,2023,10,Wednesday,20,,CENTRE ST,42.32955310858183,-71.09357502909945,"(42.32955310858183, -71.09357502909945)"
448,232011177,801,,ASSAULT - SIMPLE,D4, ,0,2023-02-10 20:57:00+00,2023,2,Friday   ,20,,VILLAGE CT,42.34508048805889,-71.06891021022376,"(42.34508048805889, -71.06891021022376)"
459,232096212,801,,ASSAULT - SIMPLE,D4,167,0,2023-11-26 19:08:00+00,2023,11,Sunday   ,19,,HARRISON AVE,42.33954152609668,-71.06940928222296,"(42.33954152609668, -71.06940928222296)"
460,232018151,801,,ASSAULT - SIMPLE,A1, ,0,2023-03-08 18:12:00+00,2023,3,Wednesday,18,,"CAMBRIDGE ST & CHARLES RIVER PLZ
BOSTON  MA 02114
",42.36122153608024,-71.06553944694369,"(42.361221536080244, -71.06553944694369)"
464,232019911,801,,ASSAULT - SIMPLE,C11, ,0,2023-03-15 17:23:00+00,2023,3,Wednesday,17,,CUSHING AVE,,,
467,232102581,423,,ASSAULT - AGGRAVATED,B3,465,0,2023-12-17 14:45:00+00,2023,12,Sunday   ,14,,JOHNSTON RD,42.28750483031299,-71.0921221108897,"(42.28750483031299, -71.0921221108897)"
468,232102306,423,,ASSAULT - AGGRAVATED,B2,323,1,2023-12-16 16:29:00+00,2023,12,Saturday ,16,,"QUINCY ST & WARREN ST
ROXBURY  MA 02121
UNITED STA",42.31635553177253,-71.08285053403303,"(42.31635553177253, -71.08285053403303)"
469,242003242,423,,ASSAULT - AGGRAVATED,D14,783,0,2024-01-12 16:28:00+00,2024,1,Friday   ,16,,WARREN ST,42.34988538006832,-71.1452303701312,"(42.349885380068315, -71.1452303701312)"
470,242003341,423,,ASSAULT - AGGRAVATED,A1,61,0,2024-01-12 22:36:00+00,2024,1,Friday   ,22,,LEGENDS WAY,42.36643498675068,-71.06135455979765,"(42.36643498675068, -71.06135455979765)"
473,232106553,423,,ASSAULT - AGGRAVATED,B3,426,0,2023-12-31 21:09:00+00,2023,12,Sunday   ,21,,BLUE HILL AVE,42.269858738034245,-71.09346425572203,"(42.269858738034245, -71.09346425572203)"
475,232032767,801,,ASSAULT - SIMPLE,B2, ,0,2023-04-28 15:03:00+00,2023,4,Friday   ,15,,KEMBLE ST,42.327834467882965,-71.0715453775728,"(42.327834467882965, -71.0715453775728)"
477,242007721,801,,ASSAULT - SIMPLE,C11,355,0,2024-01-28 12:50:00+00,2024,1,Sunday   ,12,,GIBSON ST,42.297554856340405,-71.05970968687002,"(42.297554856340405, -71.05970968687002)"
484,242013853,423,,ASSAULT - AGGRAVATED,B3,428,0,2024-02-20 01:05:00+00,2024,2,Tuesday  ,1,,SUTTON ST,42.281971810953486,-71.0891252742758,"(42.281971810953486, -71.0891252742758)"
485,242015634,301,,ROBBERY,C6,196,0,2024-02-25 20:30:00+00,2024,2,Sunday   ,20,,W SEVENTH ST,42.337508727882216,-71.0558249117035,"(42.337508727882216, -71.0558249117035)"
490,242020857,801,,ASSAULT - SIMPLE,A7,23,0,2024-03-13 00:00:00+00,2024,3,Wednesday,0,,CENTRAL SQ,42.37505200485086,-71.03883927219556,"(42.37505200485086, -71.03883927219556)"
491,242017649,801,,ASSAULT - SIMPLE,C11,353,0,2024-03-03 17:05:00+00,2024,3,Sunday   ,17,,MILL ST,42.29794255901478,-71.05175893754742,"(42.29794255901478, -71.05175893754742)"
492,242021571,423,,ASSAULT - AGGRAVATED,B2,287,0,2024-03-16 22:23:00+00,2024,3,Saturday ,22,,"WASHINGTON ST & RUGGLES ST
ROXBURY  MA 02119
UNITE",42.33105459691421,-71.08273250311323,"(42.33105459691421, -71.08273250311323)"
495,242022615,301,,ROBBERY,D4,130,0,2024-03-20 09:00:00+00,2024,3,Wednesday,9,,CLARENDON ST,42.34939192523787,-71.0745803130059,"(42.34939192523787, -71.0745803130059)"
505,232088317,801,,ASSAULT - SIMPLE,B3,465,0,2023-10-31 19:10:00+00,2023,10,Tuesday  ,19,,BLUE HILL AVE,42.28482533772862,-71.0913743736641,"(42.28482533772862, -71.0913743736641)"
509,242039863,423,,ASSAULT - AGGRAVATED,E13,637,0,2024-05-16 22:16:00+00,2024,5,Thursday ,22,,CHESTNUT AVE,42.31693749473079,-71.10687965942068,"(42.31693749473079, -71.10687965942068)"
522,232015192,724,,AUTO THEFT,D4,167,0,2023-02-26 00:00:00+00,2023,2,Sunday   ,0,,HARRISON AVE,42.33954152609665,-71.06940928222296,"(42.33954152609665, -71.06940928222296)"
535,232066559,801,,ASSAULT - SIMPLE,A1,,0,2023-08-20 00:00:00+00,2023,8,Sunday   ,0,,LEGENDS WAY,42.36643498675068,-71.06135455979765,"(42.366434986750676, -71.06135455979765)"
540,232042021,801,,ASSAULT - SIMPLE,A1,,0,2023-05-29 11:46:00+00,2023,5,Monday   ,11,,TREMONT ST,42.355406901800336,-71.06312478853518,"(42.355406901800336, -71.06312478853518)"
558,232015222,724,,AUTO THEFT,B2,181,0,2023-02-25 16:00:00+00,2023,2,Saturday ,16,,"CLARENCE ST & DUDLEY ST
ROXBURY, MA 02119
UNITED S",42.32415051820899,-71.0742455519694,"(42.32415051820899, -71.0742455519694)"
594,242021753,801,,ASSAULT - SIMPLE,C6,206,0,2024-03-17 15:34:00+00,2024,3,Sunday   ,15,,SUMMER ST,42.34938922423113,-71.04827955514784,"(42.34938922423113, -71.04827955514784)"
622,242021517,801,,ASSAULT - SIMPLE,D14,778,0,2024-03-16 19:19:00+00,2024,3,Saturday ,19,,WASHINGTON ST,42.34905564195639,-71.1504991731562,"(42.34905564195639, -71.1504991731562)"
623,242021433,801,,ASSAULT - SIMPLE,D4,624,0,2024-03-16 14:03:00+00,2024,3,Saturday ,14,,"BROOKLINE AVE & LANSDOWNE ST
BOSTON, MA 02215
UNIT",42.34716958415022,-71.09856051092167,"(42.34716958415022, -71.09856051092167)"
625,242021628,801,,ASSAULT - SIMPLE,B2,315,0,2024-03-17 03:49:00+00,2024,3,Sunday   ,3,,CRAWFORD ST,42.31254926055994,-71.08757142030801,"(42.31254926055994, -71.08757142030801)"
632,232015366,801,,ASSAULT - SIMPLE,A1,102,0,2023-02-26 20:30:00+00,2023,2,Sunday   ,20,,WASHINGTON ST,42.35591887106224,-71.0600058446897,"(42.35591887106224, -71.0600058446897)"
636,232015273,724,,AUTO THEFT,B2,329,0,2023-02-18 23:00:00+00,2023,2,Saturday ,23,,STANWOOD ST,42.30870086910375,-71.07932815282106,"(42.30870086910375, -71.07932815282106)"
645,232015278,423,,ASSAULT - AGGRAVATED,D4,,0,2023-02-26 14:51:00+00,2023,2,Sunday   ,14,,HUNTINGTON AVE,42.34730934597846,-71.07915218290486,"(42.34730934597846, -71.07915218290486)"
646,232015083,801,,ASSAULT - SIMPLE,D14,765,0,2023-02-25 16:03:00+00,2023,2,Saturday ,16,,NEWCASTLE RD,42.35379987572237,-71.16050593521337,"(42.35379987572237, -71.16050593521337)"
648,232015191,801,,ASSAULT - SIMPLE,C11,,0,2023-02-26 04:24:00+00,2023,2,Sunday   ,4,,SEMONT RD,42.29089702262348,-71.06156731571859,"(42.29089702262348, -71.06156731571859)"
654,232015344,301,,ROBBERY,E5,,0,2023-02-26 19:15:00+00,2023,2,Sunday   ,19,,WASHINGTON ST,42.29299483780489,-71.1211543750258,"(42.29299483780489, -71.1211543750258)"
666,232015135,801,,ASSAULT - SIMPLE,D4,,0,2023-02-24 21:00:00+00,2023,2,Friday   ,21,,LANSDOWNE STREET,,,
672,232045550,724,,AUTO THEFT,B2,,0,2023-06-10 10:52:00+00,2023,6,Saturday ,10,,BAKER AVE,42.31238622207902,-71.07086211240232,"(42.31238622207902, -71.07086211240232)"
685,232075402,724,,AUTO THEFT,B2,280,0,2023-09-18 09:32:00+00,2023,9,Monday   ,9,,WARREN ST,42.32978692149053,-71.08324857864635,"(42.32978692149053, -71.08324857864635)"
700,242022561,724,,AUTO THEFT,E5,691,0,2024-03-19 20:40:00+00,2024,3,Tuesday  ,20,,CENTRE ST,42.28709320338153,-71.14822209118665,"(42.28709320338153, -71.14822209118665)"
709,242022576,423,,ASSAULT - AGGRAVATED,B2,311,0,2024-03-20 02:51:00+00,2024,3,Wednesday,2,,BLUE HILL AVE,42.316056451878666,-71.07820075853385,"(42.316056451878666, -71.07820075853385)"
711,242022556,301,,ROBBERY,D14,802,0,2024-03-19 23:21:00+00,2024,3,Tuesday  ,23,,CAMBRIDGE ST,42.35515366356911,-71.13363525016362,"(42.35515366356911, -71.13363525016362)"
730,232056575,423,,ASSAULT - AGGRAVATED,D4,,0,2023-07-18 02:10:00+00,2023,7,Tuesday  ,2,,WASHINGTON ST,42.33674970032857,-71.07662841437093,"(42.33674970032857, -71.07662841437093)"
751,232056773,801,,ASSAULT - SIMPLE,A1,77,0,2023-07-18 00:00:00+00,2023,7,Tuesday  ,0,,SUDBURY ST,,,
766,242066379,301,,ROBBERY,A1,77,0,2024-08-10 11:39:00+00,2024,8,Saturday ,11,,SUDBURY ST,,,
